s_date,e_date,agent,day_type,time_segment,unique_location_ids,avg_distance_from_home_km,avg_speed_kmh,unique_locs,max_stay_duration,transformations,max_distance_from_home,dominent_poi,poi_dict,label
2024-10-16 00:00:00+09:00,2024-11-15 00:00:00+09:00,951600,weekday,0-5.59,1,0.0,0.0,[3716200],227.38,4,0.0,residential,['residential'],0
2024-10-16 06:00:00+09:00,2024-11-15 08:57:30+09:00,951600,weekday,6-8.59,2,0.04,0.42,[3716200  842221],132.93,3,1.83,residential,['residential' 'food'],0
2024-10-16 09:00:00+09:00,2024-11-15 10:56:10+09:00,951600,weekday,9-13.59,6,0.42,1.98,[3716200  359263  842221  393618  168459  444192],182.75,3,8.41,residential,['residential' 'healthcare' 'food' 'store' 'public_service'],0
2024-10-16 14:00:00+09:00,2024-11-15 16:36:50+09:00,951600,weekday,14-17.29,7,1.05,3.71,[3716200  359263  393618 1752086  670895  168459  444192],116.14,3,12.91,residential,['residential' 'healthcare' 'store' 'public_service' 'food'],0
2024-10-16 17:30:00+09:00,2024-11-15 21:02:10+09:00,951600,weekday,17.30-21.29,3,0.21,0.44,[3716200  393618  474597],139.95,3,9.95,residential,['residential' 'store' 'education'],0
2024-10-16 21:36:00+09:00,2024-11-15 23:31:20+09:00,951600,weekday,21.30-23.59,1,0.0,0.0,[3716200],109.87,2,0.0,residential,['residential'],0
2024-10-19 00:00:00+09:00,2024-11-17 04:59:50+09:00,951600,weekend,0-5.59,1,0.0,0.0,[3716200],185.07,4,0.0,residential,['residential'],0
2024-10-19 06:00:00+09:00,2024-11-17 08:33:10+09:00,951600,weekend,6-8.59,1,0.0,0.0,[3716200],128.08,3,0.0,residential,['residential'],0
2024-10-19 09:00:00+09:00,2024-11-17 13:31:50+09:00,951600,weekend,9-13.59,3,0.48,1.72,[3716200 1019866  265872],146.6,4,9.37,residential,['residential' 'unpopulated' 'park'],0
2024-10-19 14:00:00+09:00,2024-11-17 14:04:00+09:00,951600,weekend,14-17.29,1,0.0,0.0,[3716200],150.96,2,0.0,residential,['residential'],0
2024-10-19 17:30:00+09:00,2024-11-17 17:30:00+09:00,951600,weekend,17.30-21.29,3,2.56,1.16,[3716200  824404 2868036],137.67,3,32.61,residential,['residential' 'food'],0
2024-10-19 21:30:00+09:00,2024-11-17 21:30:00+09:00,951600,weekend,21.30-23.59,2,0.05,0.16,[3716200  824404],82.7,3,1.25,residential,['residential' 'food'],0
2024-10-16 00:00:10+09:00,2024-11-15 00:06:40+09:00,1207500,weekday,0-5.59,2,0.02,0.04,[3555003   81734],96.03,5,0.87,residential,['residential' 'unpopulated'],0
2024-10-16 06:27:50+09:00,2024-11-15 07:05:20+09:00,1207500,weekday,6-8.59,2,0.43,1.01,[3555003   81734],61.87,3,0.87,residential,['residential' 'unpopulated'],0
2024-10-16 09:04:20+09:00,2024-11-15 09:13:20+09:00,1207500,weekday,9-13.59,1,0.87,0.0,[81734],116.2,4,0.87,unpopulated,['unpopulated'],0
2024-10-16 14:03:40+09:00,2024-11-15 16:29:10+09:00,1207500,weekday,14-17.29,2,0.78,0.1,[  81734 3555003],75.7,3,0.87,unpopulated,['unpopulated' 'residential'],0
2024-10-16 17:30:00+09:00,2024-11-15 18:28:00+09:00,1207500,weekday,17.30-21.29,2,0.24,0.68,[  81734 3555003],79.67,3,0.87,residential,['unpopulated' 'residential'],0
2024-10-16 22:29:00+09:00,2024-11-15 21:30:00+09:00,1207500,weekday,21.30-23.59,1,0.0,0.0,[3555003],54.24,3,0.0,residential,['residential'],0
2024-10-19 00:00:00+09:00,2024-11-17 02:19:30+09:00,1207500,weekend,0-5.59,1,0.0,0.0,[3555003],140.27,4,0.0,residential,['residential'],0
2024-10-19 06:00:00+09:00,2024-11-16 08:43:40+09:00,1207500,weekend,6-8.59,2,0.22,0.99,[3555003  851465],77.07,3,2.41,residential,['residential' 'unpopulated'],0
2024-10-19 09:00:00+09:00,2024-11-17 12:46:50+09:00,1207500,weekend,9-13.59,4,0.61,0.55,[3555003  415799   81734  217944],79.85,5,2.72,residential,['residential' 'food' 'unpopulated' 'store'],0
2024-10-19 14:00:00+09:00,2024-11-17 16:23:00+09:00,1207500,weekend,14-17.29,4,0.58,0.41,[ 415799   81734 3555003   95955],61.98,3,3.61,residential,['food' 'unpopulated' 'residential'],0
2024-10-19 17:30:00+09:00,2024-11-17 21:03:40+09:00,1207500,weekend,17.30-21.29,4,0.36,0.15,[  81734 3555003 1048862  415799],49.33,4,2.72,residential,['unpopulated' 'residential' 'food'],0
2024-10-19 22:04:20+09:00,2024-11-17 23:10:30+09:00,1207500,weekend,21.30-23.59,1,0.0,0.0,[3555003],40.65,3,0.0,residential,['residential'],0
2024-10-16 00:00:10+09:00,2024-11-15 05:48:10+09:00,1424300,weekday,0-5.59,2,1.21,1.43,[1062825  912803],300.96,2,20.55,unpopulated,['unpopulated' 'office_building'],0
2024-10-16 06:00:00+09:00,2024-11-15 08:06:40+09:00,1424300,weekday,6-8.59,2,11.83,8.25,[1062825  912803],89.12,2,20.55,office_building,['unpopulated' 'office_building'],0
